country,countrycode,period,continent,suicides_no,suicides_per100k,gdp_per_capita,gdp_for_year,n
Antigua and Barbuda,ATG,1985-1990,North America,1,17.24,6004.833333,360906753.2,6
Argentina,ARG,1985-1990,South America,13299,852.42,3891.5,1.09109E+11,6
Armenia,ARM,1985-1990,Europe,93,41.12,756,2256838858,6
Australia,AUS,1985-1990,Oceania,12509,1047.8,15251.16667,2.32844E+11,6
Austria,AUT,1985-1990,Europe,11873,2263.23,16885.33333,1.20917E+11,6
Barbados,BRB,1985-1990,North America,65,380.11,7505.166667,1758255581,6
Belarus,BLR,1985-1990,Europe,2085,274.37,2301,2.17E+10,6
Belgium,BEL,1985-1990,Europe,12532,1820.25,15952.16667,1.48714E+11,6
Belize,BLZ,1985-1990,North America,11,85.64,2114.5,320150000,6
Brazil,BRA,1985-1990,South America,26903,382.9,2667.166667,3.33851E+11,6
Bulgaria,BGR,1985-1990,Europe,8591,1728.11,2594.666667,21780365283,6
Canada,CAN,1985-1990,North America,20898,1047.28,19667.66667,4.73308E+11,6
Chile,CHL,1985-1990,South America,4195,576.47,2183.5,24648190775,6
Colombia,COL,1985-1990,South America,5518,293.6,1353.833333,37539507161,6
Costa Rica,CRI,1985-1990,North America,840,511.88,2488.333333,6074879269,6
Ecuador,ECU,1985-1990,South America,2505,427.74,1786.666667,14765110637,6
El Salvador,SLV,1985-1990,North America,571,184.46,1068,4817542204,6
Finland,FIN,1985-1990,Europe,5690,1470.97,24815,1.15332E+11,6
France,FRA,1985-1990,Europe,71908,1959.68,17794,9.2867E+11,6
Georgia,GEO,1985-1990,Europe,196,64.43,1555,7753501868,6
Germany,DEU,1985-1990,Europe,13924,259.45,23546,1.76497E+12,6
Greece,GRC,1985-1990,Europe,2343,348.58,7458.166667,70529101467,6
Grenada,GRD,1985-1990,North America,11,161.72,2832.75,237378092.8,6
Guatemala,GTM,1985-1990,North America,928,217.3,1046.6,7643763152,6
Guyana,GUY,1985-1990,South America,239,453.86,606.6666667,396720547.7,6
Iceland,ISL,1985-1990,Europe,202,1054.5,22133.16667,5047751310,6
Ireland,IRL,1985-1990,Europe,1681,651.94,10881,35078964962,6
Israel,ISR,1985-1990,Asia,1743,792.66,11017.66667,43578457977,6
Italy,ITA,1985-1990,Europe,27091,750.42,14920.5,8.13941E+11,6
Jamaica,JAM,1985-1990,North America,30,22.91,1672.333333,3494546957,6
Japan,JPN,1985-1990,Asia,136095,1713.82,22141.83333,2.54501E+12,6
Kazakhstan,KAZ,1985-1990,Asia,3172,334.12,1823,26932728899,6
Kuwait,KWT,1985-1990,Asia,49,31.41,13397.33333,20570678619,6
Kyrgyzstan,KGZ,1985-1990,Asia,547,247.07,715,2.67E+09,6
Luxembourg,LUX,1985-1990,Europe,390,1379.84,25364.5,8940825514,6
Malta,MLT,1985-1990,Europe,44,173.56,5719,1831562475,6
Mauritius,MUS,1985-1990,Africa,730,966.07,2069.666667,1904417359,6
Mexico,MEX,1985-1990,North America,10453,264.67,2669.5,1.87168E+11,6
New Zealand,NZL,1985-1990,Oceania,2619,1125.05,12606.5,38512805185,6
Norway,NOR,1985-1990,Europe,3255,952.88,25220.4,99449808531,6
Paraguay,PRY,1985-1990,South America,347,183.12,1227.6,4095887846,6
Poland,POL,1985-1990,Europe,4970,172.64,1876,65977749037,6
Portugal,PRT,1985-1990,Europe,5320,919.96,5497,51621720212,6
Romania,ROU,1985-1990,Europe,4608,283.69,1897.5,40550358852,6
Saint Lucia,LCA,1985-1990,North America,37,499.41,3254.6,375142065,6
Singapore,SGP,1985-1990,Asia,2065,1937.86,10353.16667,25086341265,6
Spain,ESP,1985-1990,Europe,16959,739.91,9446.666667,3.45449E+11,6
Suriname,SUR,1985-1990,South America,302,1570.46,2413.333333,805970000,6
Sweden,SWE,1985-1990,Europe,6181,922.97,26942,2.14382E+11,6
Thailand,THA,1985-1990,Asia,12568,332.19,1115.5,54468985374,6
Trinidad and Tobago,TTO,1985-1990,North America,759,922.13,4847,5142675248,6
Turkmenistan,TKM,1985-1990,Asia,1093,643.4,970.75,2884717273,6
Ukraine,UKR,1985-1990,Europe,41333,1193.78,1588.5,75739322930,6
Uruguay,URY,1985-1990,South America,1734,1057.1,2619.833333,7321821889,6
Uzbekistan,UZB,1985-1990,Asia,1459,129.36,778,13360607918,6
