HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,class,Common name,Female maturity (days),Male maturity (days),diff male/female maturity,Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
9999,,,,,,,,Animalia,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Reptilia,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Alligator,,,,,,,,,,,,,,,,,,,,,,,,
2877,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,mississippiensis,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Alligator.mississippiensis,American alligator,4380,4380,0,,,,,,,,150000,,77,1298,captivity,large,high,,,0.1539,1079,295.31,"19,37,485,527,586,1142,1249,1298"
2878,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,sinensis,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Alligator.sinensis,Chinese alligator,,,0,,,,,,,,,,65,1298,captivity,medium,acceptable,,,,,,"4,511,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Caiman,,,,,,,,,,,,,,,,,,,,,,,,
2879,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,crocodilus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Caiman.crocodilus,Spectacled caiman,,,0,,,,,,,,,,40,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2880,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Caiman,latirostris,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Caiman.latirostris,Broad-snouted caiman,,,0,,,,,,,,,,58,1298,captivity,medium,acceptable,,,,,,"4,851,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Melanosuchus,,,,,,,,,,,,,,,,,,,,,,,,
2881,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Melanosuchus,niger,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Melanosuchus.niger,Black caiman,,,0,,,,,,,,,,40,1298,captivity,small,acceptable,,,,,,"4,851,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Paleosuchus,,,,,,,,,,,,,,,,,,,,,,,,
2882,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Paleosuchus,palpebrosus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Paleosuchus.palpebrosus,Dwarf caiman,,,0,,,,,,,,,,24.1,451,captivity,medium,acceptable,,,,,,"4,511,298"
2883,Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Paleosuchus,trigonatus,Animalia.Chordata.Reptilia.Crocodilia.Alligatoridae.Paleosuchus.trigonatus,Smooth-fronted caiman,,,0,,,,,,,,,,40,1298,captivity,medium,acceptable,,,,,,"4,851,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae,,,,,,,,,,,,,,,,,,,,,,,,
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus,,,,,,,,,,,,,,,,,,,,,,,,
2884,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,acutus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.acutus,American crocodile,,,0,,,,,,,,,,47,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2885,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,intermedius,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.intermedius,Orinoco crocodile,,,0,,,,,,,,,,41,1298,captivity,medium,acceptable,,,,,,"4,851,298"
2886,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,johnstoni,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.johnstoni,Johnson's crocodile,,,0,,,,,,,,,,55,1298,wild,medium,questionable,,,,,,"4,855,861,082,114,210,000,000"
2887,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,moreletii,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.moreletii,Morelet's crocodile,,,0,,,,,,,,,,25.4,451,captivity,medium,acceptable,,,,,,"4,511,298"
2888,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,niloticus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.niloticus,Nile crocodile,,,0,,,,,,,,,,56,1298,captivity,medium,acceptable,,,,,,"4,515,275,861,298"
2889,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,novaeguineae,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.novaeguineae,New Guinea crocodile,,,0,,,,,,,,,,51,451,captivity,medium,acceptable,,,,,,"4,511,298"
2890,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,palustris,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.palustris,Mugger or marsh crocodile,,,0,,,,,,,,,,44,1298,captivity,small,acceptable,,,,,,"4,851,298"
2891,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,porosus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.porosus,Saltwater crocodile,,,0,,,,,,,,,,57,1298,captivity,medium,questionable,,,,,,"4,851,298"
2892,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,rhombifer,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.rhombifer,Cuban crocodile,,,0,,,,,,,,,,48,1298,captivity,medium,acceptable,,,,,,"45,111,421,298"
2893,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,siamensis,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Crocodylus.siamensis,Siamese crocodile,,,0,,,,,,,,,,49,1298,captivity,medium,acceptable,,,,,,"4,511,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Mecistops,,,,,,,,,,,,,,,,,,,,,,,,
2894,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Mecistops,cataphractus,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Mecistops.cataphractus,African slender-snouted crocodile,,,0,,,,,,,,,,56.1,485,captivity,medium,acceptable,,,,,,"4,851,298"
9999,,,,,,,,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Osteolaemus,,,,,,,,,,,,,,,,,,,,,,,,
2895,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Osteolaemus,tetraspis,Animalia.Chordata.Reptilia.Crocodilia.Crocodylidae.Osteolaemus.tetraspis,West African dwarf crocodile,1825,1825,0,,,10,,,,,40000,,70,"John Gramieri, pers. comm.",captivity,medium,acceptable,,,,,,"4,481,298"
